,job_title,company_name,location,hiring_status,date,seniority_level,job_function,employment_type,industry,salary_min,salary_max,company_size,applicants_count,experience_required_years
9779,Systems Engineer - IoT Platform Architecture,LER TechForce,"Columbus, IN",Be an early applicant,2023-02-26,Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,74347.0,86298.0,3134.0,281.0,13.0
9780,Office Manager,,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-24,Mid-Senior level,Administrative,Full-time,Staffing and Recruiting,86045.0,133614.0,248.0,,7.0
9781,Executive Assistant to Chief Financial Officer,,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-12,Mid-Senior level,Administrative,Full-time,Staffing and Recruiting,147372.0,170961.0,4173.0,284.0,2.0
9782,"
            
        Business Operations & Service Manager for Exchange Business Platform
      
          ","
            Schneider Electric
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-04-12,"
            Mid-Senior level
          ","
            Other
          ","
          Full-time
        ","
          Appliances, Electrical, and Electronics Manufacturing
          ",58455.0,83912.0,3882.0,64.0,5.0
9783,"
            
        Brand Manager
      
          ","
            Cipla
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13,"
            Mid-Senior level
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Real Estate
          ",71583.0,83429.0,,410.0,0.0
9784,Senior Data Scientist,Recruiting from Scratch,"Culver City, CA",Be an early applicant,2023-01-17,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,,188710.0,526.0,269.0,9.0
9785,Lead Data Scientist,Arine,"San Francisco, CA",Actively Hiring,2023-02-12,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",65999.0,93617.0,1422.0,251.0,2.0
9786,IT Helpdesk Support-US,Zortech Solutions,"Indianapolis, IN",Be an early applicant,2023-04-07,Entry level,Administrative,Full-time,Advertising Services,108554.0,,1110.0,204.0,14.0
9787,Graphic Designer,Programmed,"Canberra, Australian Capital Territory, Australia",Be an early applicant,2023-04-21,Not Applicable,"Design, Art/Creative, and Information Technology",Temporary,Education Administration Programs,112141.0,155861.0,2108.0,478.0,
9788,Social Media-Copy Writer & Content Writer For Digital Marketing Agencycy-Pune,Artifex Media,"Pune, Maharashtra, India",Actively Hiring,2023-04-21,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,94646.0,108469.0,2701.0,118.0,1.0
9789,Content Writer (FinTech),Globacap,"London Area, United Kingdom",Actively Hiring,2023-04-01,Mid-Senior level,Marketing and Art/Creative,Full-time,"Technology, Information and Internet",98356.0,147618.0,3995.0,103.0,10.0
9790,"
            
        Electrical Design Engineer
      
          ","
            Thales
          ","
            Sydney, New South Wales, Australia
          ","
         Be an early applicant
      ",2023-03-21,"
            Not Applicable
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Defense and Space Manufacturing and Aviation and Aerospace Component Manufacturing
          ",137073.0,145556.0,14.0,291.0,6.0
9791,"Tech Lead Machine Learning Engineer, TikTok Branding Ads",TikTok,"Los Angeles, CA",Actively Hiring,2023-03-29,Not Applicable,"Research, Information Technology, and Engineering",Full-time,Entertainment Providers,195274.0,211552.0,119.0,437.0,
9792,Porter.in - Area Manager - Sales,Porter,"Chennai, Tamil Nadu, India",Actively Hiring,2023-03-29,Entry level,Other,Full-time,Staffing and Recruiting,71713.0,89343.0,4962.0,97.0,13.0
9793,Senior Full Stack Engineer (m/w/d),Exxeta,"Mannheim, Baden-W�rttemberg, Germany",Be an early applicant,2023-04-15,Mid-Senior level,Other,Full-time,IT Services and IT Consulting,83726.0,109994.0,3927.0,472.0,7.0
9794,Associate,Digg,"New York, NY",Be an early applicant,2023-04-24,,Marketing and Writing/Editing,Contract,"Advertising Services, Manufacturing, and Retail",77462.0,89485.0,3516.0,34.0,3.0
9795,"
            
        Vice President of Marketing And Business Development
      
          ","
            RECOUP Health
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-04-24,"
            Director
          ","
            Other
          ","
          Full-time
        ","
          Business Consulting and Services
          ",,,4498.0,435.0,0.0
9796,Product Manager,Tripledot Studios,"London, England, United Kingdom",Be an early applicant,2023-03-24,Entry level,Product Management and Marketing,Full-time,Software Development,49282.0,64940.0,4746.0,429.0,
9797,"
            
        Vice President - Operations - eCommerce
      
          ","
            ARA Resources Pvt. Ltd.
          ","
            Hyderabad, Telangana, India
          ","
         Be an early applicant
      ",2023-03-24,"
            Director
          ","
            Other
          ","
          Full-time
        ","
          Business Consulting and Services
          ",,66781.0,,,14.0
9798,Cacti Legal - Associate - Attorney - LLB,,"Mumbai, Maharashtra, India",Be an early applicant,2023-03-28,,,,,67524.0,75030.0,2922.0,447.0,13.0
9799,Senior Data Scientist,LVT People,"Sydney, New South Wales, Australia",Be an early applicant,2023-03-31,Mid-Senior level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",122760.0,168922.0,1250.0,475.0,
9800,Medical Writer- Publications,OPEN Health,"Manchester, England, United Kingdom",Actively Hiring,2023-02-20,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",102176.0,,,,
9801,Full Stack Developer,GrenoSearch India Pvt. Ltd.,"Bangalore Urban, Karnataka, India",Actively Hiring,2023-01-16,Mid-Senior level,Engineering and Information Technology,Full-time,Staffing and Recruiting,86807.0,97349.0,1196.0,397.0,
9802,Blockchain Architect (m/f/d) - 100% remote,Michael Page,"Berlin, Berlin, Germany",Be an early applicant,2023-01-29,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,161709.0,197575.0,3366.0,198.0,3.0
9803,"
            
        Concepteur Mouvement - Horlogerie (H/F)
      
          ","
            Qwarto
          ","
            Neuchâtel, Neuchâtel, Switzerland
          ","
         Be an early applicant
      ",2023-02-20,"
          Full-time
        ",,,,62618.0,,3578.0,102.0,1.0
9804,"
            
        Python Developer
      
          ","
            Tudip Technologies
          ","
            Mulshi, Maharashtra, India
          ","
         Actively Hiring
      ",2023-02-28,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",156930.0,183155.0,1412.0,59.0,14.0
9805,Primary Content Writer,Nagwa,"Windsor, England, United Kingdom",Be an early applicant,2023-03-28,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Internet Publishing,,117990.0,1775.0,29.0,3.0
9806,Telematics Systems Engineer,LER TechForce,"Columbus, IN","Be an early applicant
           +4 benefits",2023-03-30,Mid-Senior level,Engineering,Full-time,IT Services and IT Consulting,114885.0,,2994.0,354.0,10.0
9807,"
            
        Quality Assurance - Manual Tester
      
          ","
            Truemeds India
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-01-22,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",142296.0,184118.0,3408.0,459.0,10.0
9808,Business analyst,Diverse Lynx,"Indianapolis, IN",Be an early applicant,2023-03-10,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Software Development,141855.0,162831.0,,172.0,13.0
9809,Software Engineer (React/React Native),FRG Technology Consulting,"Melbourne, Victoria, Australia",Be an early applicant,2023-03-25,Entry level,Engineering and Information Technology,Full-time,Software Development,40347.0,75119.0,2009.0,479.0,8.0
9810,Data Scientist,Zone IT Solutions,"Millers Point, New South Wales, Australia",Actively Hiring,2023-01-07,Entry level,Engineering and Information Technology,Full-time,Staffing and Recruiting,46232.0,92379.0,4670.0,224.0,12.0
9811,Senior Research Associate (Mumbai),Visible Alpha,"Mumbai, Maharashtra, India",Actively Hiring,2023-04-12,Mid-Senior level,"Research, Analyst, and Information Technology",Full-time,Information Services,,94988.0,3766.0,419.0,
9812,Product Manager,Instant Impact,"London, England, United Kingdom",Be an early applicant,2023-04-14,Full-time,,,,183264.0,210960.0,1641.0,459.0,6.0
9813,Full Stack Developer,Deutsche Bank,"Bengaluru, Karnataka, India",Actively Hiring,2023-01-30,Mid-Senior level,Engineering and Information Technology,Full-time,Financial Services,82298.0,95314.0,1373.0,,1.0
9814,Software Engineer,,Japan,Be an early applicant,2023-04-14,Mid-Senior level,Engineering and Information Technology,Full-time,Telecommunications,,212091.0,549.0,166.0,0.0
9815,Managing Director (PJ International),Phillip Jeffries Ltd,"London, England, United Kingdom",Be an early applicant,2023-04-19,Executive,Management and Manufacturing,Full-time,Staffing and Recruiting,,92699.0,1259.0,79.0,0.0
9816,"
            
        Associate Data Scientist in Bangalore Location
      
          ","
            HTC Global Services
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-02-21,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Technology, Information and Internet
          ",,,2281.0,,6.0
9817,Assistant General Manager,Headline.nl,"Walton on the Hill, England, United Kingdom",Be an early applicant,2023-03-15,Executive,Management and Manufacturing,Full-time,Human Resources Services,168083.0,,4596.0,318.0,6.0
9818,Freelance Finance Content Writer,Mint Studios,"Edinburgh, Scotland, United Kingdom",Be an early applicant,2023-02-16,Entry level,Writing/Editing,Contract,"Technology, Information and Internet",42478.0,91557.0,2478.0,431.0,
9819,"
            
        Office Manager/Executive Assistant
      
          ","
            YH2 Capital Management Pte. Ltd.
          ","
            London, England, United Kingdom
          ","
         Actively Hiring
      ",2023-03-16,"
            Mid-Senior level
          ","
            Administrative, Human Resources, and Project Management
          ","
          Full-time
        ","
          Investment Management
          ",89761.0,,85.0,485.0,6.0
9820,Trainee Kubernetes / Cloud Engineer (m/w/d),Materna Information & Communications SE,"Hannover, Lower Saxony, Germany",Be an early applicant,2023-03-23,Internship,Engineering and Information Technology,Full-time,IT Services and IT Consulting,47129.0,74165.0,,244.0,13.0
9821,"
            
        Developer
      
          ","
            Wipro
          ","
            Hyderabad, Telangana, India
          ","
         Actively Hiring
      ",2023-03-20,"
            Entry level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Medical Equipment Manufacturing
          ",,107586.0,4464.0,,11.0
9822,Python Developer II,Advanced Mobility Analytics Group,"Brisbane, Queensland, Australia",Actively Hiring,2023-04-25,Mid-Senior level,Engineering and Information Technology,Full-time,IT Services and IT Consulting,128132.0,159878.0,2170.0,270.0,4.0
9823,Executive Assistant - Commercial Property,,"Perth, Western Australia, Australia",Be an early applicant,2023-04-26,Mid-Senior level,Administrative,Full-time,Staffing and Recruiting,131137.0,168012.0,1634.0,327.0,3.0
9824,Copywriter,Strategic Outsourcing Services,"Bengaluru, Karnataka, India",Be an early applicant,2023-03-04,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Staffing and Recruiting,40336.0,75994.0,2852.0,473.0,3.0
9825,Research Analyst II,S&P Global,"Gurgaon, Haryana, India",Actively Hiring,2023-03-27,Not Applicable,"Research, Analyst, and Information Technology",Full-time,Financial Services,75518.0,104055.0,3107.0,311.0,13.0
9826,Copywriter,Target,"Bengaluru, Karnataka, India",Actively Hiring,2023-01-24,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Retail,125169.0,135570.0,2096.0,4.0,
9827,Site Reliability Engineer,IBM,"Bengaluru East, Karnataka, India",Be an early applicant,2023-04-04,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,177073.0,218720.0,396.0,34.0,12.0
9828,Frontend Developer,Sheshi AI,"Bengaluru North, Karnataka, India",Be an early applicant,2023-01-14,Associate,Engineering and Information Technology,Full-time,Software Development,96496.0,121406.0,55.0,362.0,
9829,DeFi Engineer - Rust & Solidity [Remote],Braintrust,"Bernau, Brandenburg, Germany",Be an early applicant,2023-04-18,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",71125.0,113715.0,3513.0,101.0,8.0
9830,"
            
        Solutions Architect
      
          ","
            Adobe
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-16,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Software Development
          ",127066.0,172079.0,2590.0,344.0,2.0
9831,"
            
        Technical Architect
      
          ","
            BNP Paribas
          ","
            Chennai, Tamil Nadu, India
          ","
         Be an early applicant
      ",2023-03-03,"
            Mid-Senior level
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          Staffing and Recruiting
          ",125194.0,,1860.0,118.0,6.0
9832,Feature Writer,MonsterIQ Consulting,"Bristol, England, United Kingdom",Be an early applicant,2023-03-30,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Software Development,60783.0,67855.0,811.0,375.0,10.0
9833,DevOps Engineer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-01,Not Applicable,Information Technology,Full-time,Computer Hardware Manufacturing,155335.0,186690.0,800.0,158.0,13.0
9834,"
            
        Country Brand Manager, KAM
      
          ","
            Pfizer
          ","
            Mumbai, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-10,"
            Mid-Senior level
          ","
            Marketing and Sales
          ","
          Full-time
        ","
          Food and Beverage Services, Consumer Services, and Retail
          ",87561.0,125645.0,3211.0,218.0,0.0
9835,<?????>????????IoT???????????????? ~???3%??/????~,,"Yokohama, Kanagawa, Japan",Be an early applicant,2023-02-07,Not Applicable,Engineering,Full-time,IT Services and IT Consulting and Industrial Machinery Manufacturing,116870.0,159978.0,4165.0,247.0,5.0
9836,PZ Java Full Stack Developer,Attrillion Services Private Limited,"Bangalore Urban, Karnataka, India",Be an early applicant,2023-01-18,Entry level,Engineering and Information Technology,Full-time,Information Technology & Services,42160.0,68534.0,4370.0,162.0,0.0
9837,Electronics Design Engineer - FPGA-VHDL Firmware Developer,Oceaneering,"Houston, TX",Be an early applicant,2023-04-05,Entry level,Engineering and Information Technology,Full-time,Oil and Gas,,122969.0,4364.0,,7.0
9838,"
            
        Executive Assistant
      
          ","
            Feedzai
          ","
            Lisbon, Lisbon, Portugal
          ","
         Actively Hiring
      ",2023-03-07,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Financial Services
          ",135259.0,148894.0,2276.0,218.0,14.0
9839,Product Manager,ATG (Auction Technology Group),"London Area, United Kingdom",Actively Hiring,2023-04-13,Mid-Senior level,Product Management and Marketing,Full-time,Travel Arrangements,93616.0,,1722.0,196.0,10.0
9840,Lead Data Scientist,Intelliswift Software,"Newark, CA",Be an early applicant,2022-06-22,Mid-Senior level,Engineering and Information Technology,Full-time,Information Technology & Services,102915.0,126750.0,3521.0,,10.0
9841,Technical Product Manager,albelli-Photobox Group,"London, England, United Kingdom",Be an early applicant,2023-03-01,Mid-Senior level,Product Management,Full-time,"Technology, Information and Internet",184198.0,198004.0,4475.0,258.0,12.0
9842,"
            
        Admin Specialist
      
          ","
            Bekaert
          ","
            Suzhou, Jiangsu, China
          ","
         Be an early applicant
      ",2023-03-09,"
            Entry level
          ","
            Administrative
          ","
        
          Employment type
        
        
          Full-time
        
      ","
          Manufacturing
          ",177945.0,191475.0,2119.0,20.0,11.0
9843,"
            
        Data Scientist - Remote (India)
      
          ","
            Aryng
          ","
            Kolkata, West Bengal, India
          ","
         Be an early applicant
      ",2023-02-23,"
            Mid-Senior level
          ","
            Information Technology and Analyst
          ","
          Full-time
        ","
          Mental Health Care and Wellness and Fitness Services
          ",55803.0,62711.0,4167.0,,
9844,Research Assistant (Data Manager),University of Warwick,"Coventry, England, United Kingdom",Be an early applicant,2023-03-28,Mid-Senior level,Information Technology,Full-time,"Technology, Information and Internet",57970.0,101835.0,2769.0,286.0,6.0
9845,"Full Stack Developer | Python, React, Vue",Hunt & Co.,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-28,Not Applicable,Management and Manufacturing,Full-time,"Banking, Financial Services, and Accounting",131564.0,161608.0,2405.0,350.0,12.0
9846,"
            
        Data Analyst 2
      
          ","
            PayPal
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-08,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,165243.0,,4532.0,20.0,11.0
9847,IoT?AI???????,,"Ehime, Japan",Be an early applicant,2023-04-11,Entry level,Engineering,Full-time,Travel Arrangements,,176631.0,302.0,268.0,
9848,"
            
        Executive Assistant
      
          ","
            Build38
          ","
            Munich, Bavaria, Germany
          ","
         Actively Hiring
      ",2023-03-16,"
            Not Applicable
          ","
            Administrative
          ","
          Part-time
        ","
          Software Development
          ",106268.0,116849.0,1186.0,442.0,3.0
9849,"
            
        UX/UI Designer
      
          ","
            Swisscom
          ","
            Bern, Berne, Switzerland
          ","
         Be an early applicant
      ",2023-03-02,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting and Telecommunications
          ",,135163.0,423.0,293.0,6.0
9850,"
            
        Key Account Manager
      
          ","
            ATL, A Bureau Veritas Company
          ","
            Indianapolis, IN
          ","
         Actively Hiring
           +4 benefits
      ",2023-02-16,"
            Mid-Senior level
          ","
            Sales and Business Development
          ","
          Full-time
        ","
          Medical Equipment Manufacturing, Manufacturing, and Pharmaceutical Manufacturing
          ",185196.0,195237.0,4398.0,253.0,3.0
9851,"Positions Vacant For Sales Manager, Sales Officers, Area Business Managers",Adidev Herbals Pvt Ltd,"Coimbatore, Tamil Nadu, India",Be an early applicant,2023-02-16,Mid-Senior level,Sales and Business Development,Full-time,Staffing and Recruiting,,134500.0,3337.0,166.0,5.0
9852,Research Engineer - Arithmetization,ConsenSys,Germany,Be an early applicant,2023-04-13,Entry level,Engineering and Information Technology,Full-time,Software Development,160618.0,199162.0,3887.0,344.0,
9853,Staff Writer,Dexerto,Greater Portsmouth Area,Be an early applicant,2023-03-31,Mid-Senior level,"Marketing, Public Relations, and Writing/Editing",Full-time,Media Production,141194.0,157190.0,1669.0,174.0,4.0
9854,"
            
        Python Developer
      
          ","
            Atos
          ","
            Pune, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-16,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",196697.0,,1722.0,305.0,14.0
9855,"
            
        Executive Assistant
      
          ","
            Hertility
          ","
            London, England, United Kingdom
          ","
         Be an early applicant
      ",2023-02-21,"
            Mid-Senior level
          ","
            Administrative
          ","
          Full-time
        ","
          Biotechnology Research
          ",,172696.0,2059.0,,6.0
9856,Product Manager,Revoco,"London, England, United Kingdom",Actively Hiring,2023-04-04,Entry level,Product Management and Marketing,Full-time,Food and Beverage Services,57015.0,101675.0,,,5.0
9857,Data Engineer,The Tech Galore,India,Actively Hiring,2023-02-13,Entry level,Information Technology,Full-time,Software Development,39762.0,58064.0,1291.0,,9.0
9858,Strategy Manager - Digital Marketing,Flight Story,"London, England, United Kingdom",Actively Hiring,2023-04-03,Full-time,,,,91709.0,112953.0,3910.0,309.0,10.0
9859,Remote Content Writer / CopyWriter,Stanton Group,"London, England, United Kingdom",Actively Hiring,2023-04-03,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,Insurance,,119452.0,4464.0,321.0,5.0
9860,Acoustics ML Engineer III,WinMax,"Cupertino, CA",Be an early applicant,2023-01-27,Mid-Senior level,Engineering and Information Technology,Contract,Staffing and Recruiting,34521.0,41790.0,1556.0,303.0,5.0
9861,"
            
        HR Consultant |Employment Conditions
      
          ","
            Siemens Energy
          ","
            Delhi, India
          ","
         Actively Hiring
      ",2023-02-25,"
            Associate
          ","
            Human Resources
          ","
          Full-time
        ","
          Appliances, Electrical, and Electronics Manufacturing
          ",38395.0,56844.0,1605.0,120.0,7.0
9862,Firmware Engineer I,Dice,"Lafayette, IN",Be an early applicant,2023-04-13,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",194002.0,218375.0,2822.0,423.0,9.0
9863,"
            
        Data Analyst - Senior Associate/ Team Lead- Paytm Travel
      
          ","
            Paytm
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-15,"
            Entry level
          ","
            Information Technology
          ","
          Full-time
        ",,60738.0,104144.0,3064.0,,7.0
9864,React.js Developer,StatusNeo,"Bengaluru North, Karnataka, India",Actively Hiring,2023-02-16,Mid-Senior level,Engineering and Information Technology,Full-time,Business Consulting and Services,133136.0,146238.0,3284.0,199.0,1.0
9865,Senior Full Stack Engineer (m/w/d),Exxeta,"Leipzig, Saxony, Germany",Be an early applicant,2023-04-04,Mid-Senior level,Other,Full-time,IT Services and IT Consulting,128602.0,150810.0,1864.0,261.0,12.0
9866,Product Owner,BigChange,"Leeds, England, United Kingdom",Be an early applicant,2023-04-04,Not Applicable,Product Management,Full-time,"Technology, Information and Internet",157619.0,178279.0,3016.0,393.0,5.0
9867,EOI - Business Manager - Minimbah State School,Queensland Department of Education,"Brisbane, Queensland, Australia",Be an early applicant,2023-04-28,Not Applicable,Sales and Business Development,Full-time,Government Administration,113383.0,125445.0,602.0,432.0,12.0
9868,"
            
        Data Scientist II
      
          ","
            Hebrew SeniorLife
          ","
            Boston, MA
          ",Be an early applicant,2023-03-07,,"
            Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Technology, Information and Internet
          ",32344.0,67200.0,4638.0,319.0,4.0
9869,"
            
        Software Engineer III - Java
      
          ","
            Walmart Global Tech India
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-28,"
            Associate
          ","
            Engineering and Information Technology
          ","
          Full-time
        ","
          IT Services and IT Consulting, Software Development, and Technology, Information and Internet
          ",150784.0,162869.0,4560.0,298.0,11.0
9870,Office Manager,,Greater Melbourne Area,Actively Hiring,2023-04-21,Not Applicable,Administrative,Full-time,Hospitality,149566.0,192296.0,1777.0,86.0,7.0
9871,"
            
        Quality Assurance - Engineer
      
          ","
            Scrut Automation
          ","
            Bengaluru, Karnataka, India
          ",Actively Hiring,2023-02-04,"
            Entry level
          ","
            Engineering
          ","
          Full-time
        ","
          Railroad Equipment Manufacturing
          ",143522.0,155723.0,232.0,382.0,5.0
9872,Firmware Test Engineer,Dice,"Columbus, IN",Be an early applicant,2023-04-13,Entry level,Engineering and Information Technology,Contract,"Technology, Information and Internet",151988.0,171835.0,2860.0,256.0,
9873,Entry level,Civilian,"California, United States","Actively Hiring
           +5�benefits",2023-04-27,,"Marketing, Public Relations, and Writing/Editing",Full-time,Marketing Services,39736.0,55010.0,845.0,339.0,13.0
9874,"
            
        Senior Director - Product Management
      
          ","
            Freshworks
          ","
            Bengaluru, Karnataka, India
          ","
         Actively Hiring
      ",2023-04-27,"
            Director
          ","
            Other
          ","
          Full-time
        ","
          IT Services and IT Consulting
          ",125149.0,133483.0,135.0,298.0,10.0
9875,"
            
        Interior Designer / Innenarchitekt (w/m) für Bürodesign- Planungsteam
      
          ","
            Upscale Interiors AG
          ","
            Zurich, Zurich, Switzerland
          ","
         Actively Hiring
      ",2023-02-28,"
            Entry level
          ","
            Other
          ","
          Full-time
        ","
          Architecture and Planning
          ",58757.0,79571.0,1929.0,,
9876,Associate IT Ops Engineer- Shell.ai,Shell,"Bengaluru, Karnataka, India",Actively Hiring,2023-04-11,Not Applicable,"General Business, Analyst, and Information Technology",Full-time,Oil and Gas,,194083.0,2730.0,284.0,14.0
9877,Blockchain Engineer,Gloify,"Bengaluru East, Karnataka, India",Actively Hiring,2023-02-07,Executive,Engineering and Information Technology,Full-time,IT Services and IT Consulting,188102.0,193676.0,1457.0,,5.0
9878,Assistant Superintendent of Human Resources,Elmhurst District 205 Public Schools,"Elmhurst, IL",Be an early applicant,2023-04-08,Entry level,Management and Manufacturing,Full-time,Education Administration Programs,147638.0,179041.0,1638.0,478.0,14.0
9879,Backend Developer,IBM,"Bengaluru East, Karnataka, India",Actively Hiring,2023-04-06,Mid-Senior level,Other,Full-time,Human Resources Services,148532.0,181476.0,,,3.0
9880,"Staff Machine Learning Engineer, Behaviors",Cruise,"San Francisco, CA",Actively Hiring,2023-04-15,Mid-Senior level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Motor Vehicle Manufacturing",177959.0,224133.0,199.0,,3.0
9881,Software Engineer - Ubuntu Core,Canonical,"Dallas, TX",Be an early applicant,2023-02-12,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",165405.0,187032.0,4856.0,266.0,
9882,"
            
        Vice President - Global Sales
      
          ",,"
            Gurgaon, Haryana, India
          ",Be an early applicant,2023-02-12,,,,,154028.0,,4640.0,119.0,
9883,Product Manager,Movement8,"South Wimbledon, England, United Kingdom",Be an early applicant,2023-03-23,Mid-Senior level,Product Management,Full-time,"Technology, Information and Internet",105302.0,147854.0,2672.0,140.0,
9884,"
            
        Brand Manager
      
          ","
            GSK
          ","
            Worli, Maharashtra, India
          ","
         Actively Hiring
      ",2023-03-13,"
            Not Applicable
          ","
            Sales, Art/Creative, and Marketing
          ","
          Full-time
        ","
          Pharmaceutical Manufacturing
          ",151053.0,199367.0,1153.0,405.0,7.0
9885,"Full Stack Backend Development - Payment Rails, Invoicing And Money Movement work from home job/internship at Metaverse Ventures Private Limited",,India,Be an early applicant,2023-04-04,,,,,47388.0,91059.0,3102.0,91.0,14.0
9886,Personal Assistant | General Manager,,"Mount Isa, Queensland, Australia",Be an early applicant,2023-04-26,Not Applicable,Administrative,Full-time,Construction,40088.0,73914.0,3431.0,,4.0
9887,"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Melbourne, Victoria, Australia",Be an early applicant,2023-04-24,Entry level,Engineering and Information Technology,Full-time,"Technology, Information and Internet",95673.0,133825.0,91.0,194.0,7.0
9888,Technical Script Writer,Harvest Talent Recruitment & People Solutions,"Geelong, Victoria, Australia",Be an early applicant,2023-04-20,Mid-Senior level,Information Technology,Full-time,IT Services and IT Consulting,,116887.0,,,8.0
9889,Full Stack Developer,Exeevo,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-13,Entry level,Engineering and Information Technology,Full-time,"IT Services and IT Consulting, Software Development, and Technology, Information and Internet",140175.0,158224.0,2659.0,473.0,13.0
9890,Receptionist and Office Manager,,"Sydney, New South Wales, Australia",Actively Hiring,2023-04-26,Not Applicable,Administrative,Full-time,Construction,181516.0,219652.0,4672.0,195.0,9.0
9891,Configuration Engineer,Signzy,"Bengaluru, Karnataka, India",Be an early applicant,2023-02-09,Associate,Other,Full-time,Software Development,123981.0,168646.0,2239.0,405.0,
9892,Java Full Stack Developer,NuStar Technologies,"Bangalore Urban, Karnataka, India",Actively Hiring,2023-01-26,Mid-Senior level,Engineering and Information Technology,Full-time,Information Technology & Services,164995.0,208678.0,2531.0,229.0,3.0
9893,"
            
        AI/ML Developer
      
          ","
            Tech Mahindra
          ","
            Mumbai Metropolitan Region
          ","
         Actively Hiring
      ",2023-03-22,"
            Mid-Senior level
          ","
            Information Technology, Advertising, and Education
          ","
          Full-time
        ","
          IT Services and IT Consulting, Information Services, and Broadcast Media Production and Distribution
          ",100543.0,109116.0,2588.0,259.0,13.0
9894,"
            
        Remote Sensing Data Scientist - REMOTE
      
          ","
            Bayer
          ","
            United States
          ","
         Be an early applicant
      ",2023-03-22,,"
            Engineering and Information Technology
          ","
          Full-time
        ","
          Computer and Network Security and Technology, Information and Internet
          ",130973.0,169819.0,2545.0,,6.0
9895,"
            
        Data Scientist III.
      
          ","
            InMobi
          ","
            Bangalore Urban, Karnataka, India
          ","
         Actively Hiring
      ",2023-03-03,"
            Mid-Senior level
          ","
            Information Technology
          ","
          Full-time
        ","
          Advertising Services
          ",79711.0,,,390.0,
9896,Copywriter (Remote),INFUSEmedia,"Madrid, Community of Madrid, Spain","
         Actively Hiring
      ",2023-02-25,Entry level,"Marketing, Public Relations, and Writing/Editing",Full-time,"Technology, Information and Internet",192096.0,207599.0,1476.0,462.0,
